customer_id,customer_name,total_spend
151,"Vihaan Gupta",5617.19
104,"Muhammad Patel",8980.63
418,"Arjun Bhat",6288.83
497,"Aditya Das",4803.14
187,"Reyansh Sharma",4769.20
322,"Aarav Bhat",6820.95
37,"Reyansh Verma",13895.67
189,"Sai Patel",11983.77
1,"Vivaan Sharma",3036.44
139,"Vihaan Nair",8808.51
393,"Vihaan Gupta",4605.07
436,"Muhammad Patel",8137.61
43,"Ishaan Mehta",7214.52
374,"Arjun Bhat",10146.83
311,"Arjun Mehta",7193.83
29,"Ishaan Singh",1083.48
4,"Aarav Sharma",13374.11
289,"Arjun Sharma",11602.53
325,"Aditya Sharma",13019.22
439,"Muhammad Das",15489.34
372,"Sai Reddy",6402.83
390,"Vivaan Gupta",3621.38
64,"Vihaan Reddy",8186.05
411,"Vivaan Patel",4320.67
98,"Muhammad Gupta",1499.82
109,"Aditya Singh",15500.69
106,"Vihaan Verma",4769.20
406,"Muhammad Das",7277.98
386,"Ishaan Sharma",2982.01
2,"Vihaan Patel",3550.25
5,"Vihaan Das",16394.11
227,"Ishaan Bhat",4153.23
435,"Ishaan Patel",14023.01
60,"Muhammad Reddy",7079.48
47,"Krishna Patel",14509.76
483,"Reyansh Patel",7139.45
437,"Vivaan Gupta",1311.71
14,"Arjun Bhat",10128.25
492,"Vivaan Mehta",4129.49
451,"Sai Reddy",6523.37
21,"Vihaan Patel",13681.81
300,"Muhammad Gupta",6685.50
10,"Reyansh Verma",4143.11
316,"Vivaan Patel",9533.30
477,"Reyansh Verma",8549.08
302,"Sai Verma",14675.57
350,"Aarav Das",9036.94
55,"Vivaan Sharma",9861.53
45,"Aarav Reddy",6101.36
428,"Vihaan Nair",17483.67
318,"Muhammad Sharma",4282.22
361,"Sai Singh",10043.08
133,"Reyansh Nair",5001.09
191,"Krishna Nair",18964.17
243,"Reyansh Bhat",11600.24
388,"Sai Singh",7325.70
250,"Vivaan Patel",12426.76
22,"Arjun Das",12463.72
57,"Vihaan Gupta",1931.78
138,"Vihaan Patel",15347.10
28,"Vihaan Das",12655.65
441,"Reyansh Nair",8377.55
499,"Arjun Gupta",10763.43
136,"Ishaan Mehta",8712.09
99,"Reyansh Patel",3718.34
42,"Aditya Das",3575.73
8,"Aarav Patel",14131.34
127,"Arjun Singh",8837.85
498,"Vivaan Verma",10378.04
121,"Reyansh Singh",3320.64
82,"Ishaan Bhat",13388.04
282,"Arjun Mehta",15236.17
165,"Muhammad Patel",6091.84
491,"Reyansh Sharma",1037.50
199,"Aarav Das",6623.09
120,"Ishaan Singh",17969.78
