customer_id,customer_name,signup_date,customer_category
1,"Vivaan Sharma",2023-09-08,"Early Bird"
2,"Vihaan Patel",2024-11-23,Regular
3,"Krishna Verma",2024-03-08,Regular
4,"Aarav Sharma",2023-08-12,"Early Bird"
5,"Vihaan Das",2023-01-28,"Early Bird"
6,"Krishna Reddy",2024-03-05,Regular
7,"Vihaan Nair",2023-10-12,"Early Bird"
8,"Aarav Patel",2023-12-15,"Early Bird"
9,"Arjun Patel",2025-02-20,New
10,"Reyansh Verma",2024-01-25,Regular
11,"Vivaan Mehta",2024-09-10,Regular
12,"Arjun Sharma",2024-07-03,Regular
13,"Vivaan Singh",2024-07-19,Regular
14,"Arjun Bhat",2024-08-14,Regular
15,"Vihaan Verma",2024-11-08,Regular
16,"Vihaan Gupta",2025-05-25,New
17,"Vihaan Verma",2023-10-12,"Early Bird"
18,"Sai Mehta",2024-01-15,Regular
19,"Reyansh Reddy",2024-12-19,Regular
20,"Vivaan Bhat",2024-06-30,Regular
21,"Vihaan Patel",2024-01-24,Regular
22,"Arjun Das",2024-12-02,Regular
23,"Reyansh Sharma",2025-04-21,New
24,"Aarav Mehta",2023-10-02,"Early Bird"
25,"Vivaan Reddy",2025-06-16,New
26,"Reyansh Reddy",2024-02-10,Regular
27,"Sai Patel",2023-05-23,"Early Bird"
28,"Vihaan Das",2023-09-27,"Early Bird"
29,"Ishaan Singh",2024-02-13,Regular
30,"Reyansh Reddy",2024-06-05,Regular
31,"Sai Verma",2025-05-31,New
32,"Vivaan Patel",2025-03-22,New
33,"Muhammad Bhat",2024-01-30,Regular
34,"Muhammad Bhat",2024-06-25,Regular
35,"Arjun Das",2024-11-27,Regular
36,"Vivaan Das",2025-02-26,New
37,"Reyansh Verma",2024-03-21,Regular
38,"Aditya Nair",2025-01-09,New
39,"Arjun Das",2024-06-03,Regular
40,"Vivaan Gupta",2024-09-15,Regular
41,"Vihaan Patel",2025-02-19,New
42,"Aditya Das",2023-01-01,"Early Bird"
43,"Ishaan Mehta",2023-01-20,"Early Bird"
44,"Vivaan Mehta",2023-09-03,"Early Bird"
45,"Aarav Reddy",2023-03-22,"Early Bird"
46,"Vivaan Nair",2025-02-17,New
47,"Krishna Patel",2024-11-06,Regular
48,"Sai Das",2023-09-29,"Early Bird"
49,"Krishna Bhat",2023-08-05,"Early Bird"
50,"Krishna Reddy",2024-02-13,Regular
51,"Reyansh Nair",2024-04-07,Regular
52,"Vivaan Reddy",2023-03-07,"Early Bird"
53,"Reyansh Sharma",2024-07-21,Regular
54,"Vihaan Bhat",2023-01-08,"Early Bird"
55,"Vivaan Sharma",2023-03-11,"Early Bird"
56,"Aarav Mehta",2024-06-10,Regular
57,"Vihaan Gupta",2023-08-08,"Early Bird"
58,"Krishna Patel",2024-08-13,Regular
59,"Sai Reddy",2025-04-06,New
60,"Muhammad Reddy",2023-04-10,"Early Bird"
61,"Muhammad Mehta",2024-02-25,Regular
62,"Sai Sharma",2023-03-04,"Early Bird"
63,"Muhammad Mehta",2023-09-12,"Early Bird"
64,"Vihaan Reddy",2024-04-04,Regular
65,"Aditya Singh",2023-10-13,"Early Bird"
66,"Sai Reddy",2024-03-29,Regular
67,"Krishna Verma",2024-10-29,Regular
68,"Krishna Sharma",2025-02-10,New
69,"Vihaan Patel",2024-05-12,Regular
70,"Sai Reddy",2023-03-02,"Early Bird"
71,"Aditya Singh",2024-02-04,Regular
72,"Arjun Nair",2024-03-09,Regular
73,"Krishna Nair",2023-07-14,"Early Bird"
74,"Arjun Reddy",2024-08-16,Regular
75,"Krishna Sharma",2023-02-28,"Early Bird"
76,"Aarav Bhat",2024-05-29,Regular
77,"Krishna Patel",2024-06-04,Regular
78,"Vivaan Patel",2024-09-01,Regular
79,"Vivaan Reddy",2023-05-03,"Early Bird"
80,"Ishaan Reddy",2024-08-31,Regular
81,"Aarav Bhat",2024-03-05,Regular
82,"Ishaan Bhat",2023-11-20,"Early Bird"
83,"Arjun Reddy",2023-09-02,"Early Bird"
84,"Arjun Singh",2024-11-18,Regular
85,"Arjun Nair",2025-02-08,New
86,"Vivaan Sharma",2024-09-28,Regular
87,"Ishaan Verma",2024-07-04,Regular
88,"Vihaan Das",2023-05-16,"Early Bird"
89,"Reyansh Verma",2024-01-14,Regular
90,"Arjun Patel",2025-05-03,New
91,"Krishna Gupta",2025-04-06,New
92,"Krishna Sharma",2023-11-03,"Early Bird"
93,"Vivaan Patel",2023-04-29,"Early Bird"
94,"Vivaan Das",2023-10-06,"Early Bird"
95,"Arjun Bhat",2025-01-04,New
96,"Reyansh Reddy",2024-06-01,Regular
97,"Sai Gupta",2023-04-05,"Early Bird"
98,"Muhammad Gupta",2023-01-04,"Early Bird"
99,"Reyansh Patel",2023-06-15,"Early Bird"
100,"Sai Das",2024-07-28,Regular
101,"Aarav Verma",2025-06-23,New
102,"Aditya Das",2025-05-04,New
103,"Reyansh Bhat",2023-06-01,"Early Bird"
104,"Muhammad Patel",2023-11-12,"Early Bird"
105,"Reyansh Sharma",2023-08-04,"Early Bird"
106,"Vihaan Verma",2025-03-09,New
107,"Krishna Singh",2025-02-06,New
108,"Aditya Reddy",2025-03-30,New
109,"Aditya Singh",2023-07-03,"Early Bird"
110,"Reyansh Singh",2023-10-01,"Early Bird"
111,"Aditya Verma",2025-06-12,New
112,"Aarav Nair",2023-07-24,"Early Bird"
113,"Sai Mehta",2025-04-20,New
114,"Vihaan Reddy",2024-11-06,Regular
115,"Vihaan Singh",2023-10-13,"Early Bird"
116,"Vivaan Gupta",2024-10-18,Regular
117,"Krishna Singh",2023-12-06,"Early Bird"
118,"Aarav Verma",2023-07-02,"Early Bird"
119,"Ishaan Gupta",2023-04-22,"Early Bird"
120,"Ishaan Singh",2025-01-16,New
121,"Reyansh Singh",2024-06-07,Regular
122,"Vivaan Singh",2023-07-14,"Early Bird"
123,"Arjun Sharma",2023-01-02,"Early Bird"
124,"Krishna Das",2024-01-08,Regular
125,"Muhammad Verma",2024-09-30,Regular
126,"Reyansh Verma",2024-06-03,Regular
127,"Arjun Singh",2024-02-17,Regular
128,"Arjun Das",2023-07-16,"Early Bird"
129,"Muhammad Singh",2024-09-22,Regular
130,"Ishaan Gupta",2024-07-15,Regular
131,"Aarav Gupta",2023-08-04,"Early Bird"
132,"Muhammad Bhat",2024-11-01,Regular
133,"Reyansh Nair",2024-03-28,Regular
134,"Vihaan Das",2025-03-23,New
135,"Aditya Verma",2024-06-11,Regular
136,"Ishaan Mehta",2025-04-18,New
137,"Vihaan Gupta",2025-04-05,New
138,"Vihaan Patel",2023-02-17,"Early Bird"
139,"Vihaan Nair",2025-05-20,New
140,"Vivaan Nair",2025-06-26,New
141,"Ishaan Reddy",2024-05-21,Regular
142,"Muhammad Reddy",2024-11-02,Regular
143,"Aarav Verma",2023-08-13,"Early Bird"
144,"Aditya Das",2023-02-21,"Early Bird"
145,"Krishna Reddy",2024-04-12,Regular
146,"Aditya Nair",2024-07-26,Regular
147,"Ishaan Mehta",2024-09-19,Regular
148,"Krishna Singh",2024-04-01,Regular
149,"Aditya Nair",2023-09-23,"Early Bird"
150,"Vihaan Gupta",2024-05-11,Regular
151,"Vihaan Gupta",2023-03-21,"Early Bird"
152,"Arjun Reddy",2023-12-10,"Early Bird"
153,"Reyansh Das",2023-05-22,"Early Bird"
154,"Aditya Reddy",2024-12-11,Regular
155,"Aditya Reddy",2024-02-29,Regular
156,"Muhammad Mehta",2024-04-22,Regular
157,"Muhammad Sharma",2025-05-02,New
158,"Muhammad Singh",2024-12-13,Regular
